id;city;visa_application_date;visa_issue_date;waiting_days;travel_purpose;planned_travel_date;additional_doc_request;tickets_purchased;hotels_purchased;employment_certificate;financial_guarantee;comments;visa_center;visa_status;visa_issued_for_days;corridor_days;past_visas_trips;consul;planned_stay_in_italy
7700;Санкт-Петербург;27.04.2024;06.06.2024;40;;;0;0;0;;450;;VMS;1;;;;;
7701;Москва;22.04.2024;06.06.2024;45;;08.06.2024;0;0;0;;;;VMS;1;;;;;
7702;Санкт-Петербург;10.04.2024;06.06.2024;57;;;0;0;0;;;;VMS;1;;;;;
7703;Москва;12.04.2024;06.06.2024;55;;12.06.2024;0;0;0;;;;VMS;1;;;;;
7704;Москва;18.04.2024;10.06.2024;53;;17.08.2024;0;0;0;;;;VMS;1;;;;;
7705;Москва;19.04.2024;10.06.2024;52;;31.05.2024;0;0;0;;;;VMS;1;;;;;
7706;Москва;27.04.2024;10.06.2024;44;;;0;0;0;работа;1300;;VMS;1;;;;;
7707;Москва;26.04.2024;10.06.2024;45;;;0;0;0;;;;VMS;1;;;;;
7708;Москва;26.04.2024;11.06.2024;46;;01.08.2024;0;0;0;;300;;VMS;1;;;;;
7709;Санкт-Петербург;26.03.2024;11.06.2024;77;;18.06.2024;0;0;0;;;;VMS;1;;;;;
7710;Москва;23.04.2024;10.06.2024;48;;22.07.2024;0;0;0;;350;;VMS;1;;;;;
7711;Москва;27.04.2024;11.06.2024;45;;13.07.2024;0;0;0;без справки;900;;VMS;1;;;;;
7712;Москва;26.04.2024;11.06.2024;46;;;0;0;0;;500;;VMS;1;;;;;
7713;Москва;02.05.2024;17.06.2024;46;;10.07.2024;0;0;0;работа;;;VMS;1;;;;;
7714;Москва;02.05.2024;13.06.2024;42;;;0;0;0;;600;;VMS;1;;;;;
7715;Санкт-Петербург;09.04.2024;17.06.2024;69;;23.06.2024;0;0;0;;500;;VMS;1;;;;;
7716;Санкт-Петербург;20.03.2024;05.06.2024;77;;07.06.2024;0;0;0;;600;;VMS;1;;;;;
7717;Москва;06.05.2024;18.06.2024;43;;29.07.2024;0;0;0;;;;VMS;1;;;;;
7718;Москва;06.05.2024;20.06.2024;45;;22.06.2024;0;0;0;;;;VMS;1;;;;;
7719;Москва;08.05.2024;21.06.2024;44;;17.07.2024;0;0;0;работа;500;;VMS;1;;;;;
7720;Москва;08.05.2024;24.06.2024;47;;08.05.2024;0;0;0;;500;;VMS;1;;;;;
7721;Москва;07.05.2024;24.06.2024;48;;;0;0;0;;;;VMS;1;;;;;
7722;Москва;14.05.2024;26.06.2024;43;Туризм;;0;0;0;;700;;VMS;1;;;;;
7723;Санкт-Петербург;14.05.2024;26.06.2024;43;Туризм;;0;0;0;;600;;VMS;1;;;;;
7724;Москва;13.05.2024;26.06.2024;44;;;0;0;0;;500;;VMS;1;;;;;
7725;Москва;19.04.2024;25.06.2024;67;;01.06.2024;0;0;0;;;;VMS;1;;;;;
7726;Москва;08.05.2024;24.06.2024;47;;10.07.2024;0;0;0;;700;;VMS;1;;;;;
7727;Москва;15.05.2024;01.07.2024;47;;01.08.2024;0;0;0;;;;VMS;1;;;;;
7728;Москва;24.04.2024;02.07.2024;69;;15.06.2024;0;0;0;;;;VMS;1;;;;;
7729;Москва;15.05.2024;01.07.2024;47;Туризм;;0;0;0;работа;2500;;VMS;1;;;;;
7730;Москва;18.04.2024;01.07.2024;74;;03.06.2024;0;0;0;;;;VMS;1;;;;;
7731;Москва;15.05.2024;01.07.2024;47;;11.07.2024;0;0;0;без справки;1300;;VMS;1;;;;;
7732;Москва;17.05.2024;02.07.2024;46;Туризм;;0;0;0;;;;VMS;1;;;;;
7733;Москва;17.05.2024;02.07.2024;46;;;0;0;0;;;;VMS;1;;;;;
7734;Москва;13.05.2024;03.07.2024;51;;21.07.2024;0;0;0;работа;540;;VMS;1;;;;;
7735;Санкт-Петербург;06.06.2024;02.07.2024;26;;14.07.2024;0;0;0;;;;VMS;1;;;;;
7736;Москва;20.05.2024;03.07.2024;44;;22.06.2024;0;0;0;;570;;VMS;1;;;;;
7737;Москва;20.05.2024;03.07.2024;44;Туризм;24.07.2024;0;0;0;учеба;730;;VMS;1;;;;;
7738;Москва;15.05.2024;04.07.2024;50;;12.07.2024;0;0;0;;;;VMS;1;;;;;
7739;Москва;17.05.2024;04.07.2024;48;;;0;0;0;;700;;VMS;1;;;;;
7740;Санкт-Петербург;27.04.2024;02.06.2024;36;;;0;0;0;;;;VMS;0;;;;;
7741;Москва;17.05.2024;05.07.2024;49;;;0;0;0;работа;;;VMS;1;;;;;
7742;Москва;17.05.2024;07.07.2024;51;Туризм;08.07.2024;0;0;0;;600;;VMS;1;;;;;
7743;Санкт-Петербург;21.05.2024;08.07.2024;48;;09.07.2024;0;0;0;самозанятость;900;;VMS;1;;;;;
7744;Москва;21.05.2024;08.07.2024;48;;;0;0;0;;;;VMS;1;;;;;
7745;Москва;21.05.2024;08.07.2024;48;;;0;0;0;;1500;;VMS;1;;;;;
7746;Санкт-Петербург;29.05.2024;08.07.2024;40;;09.07.2024;0;0;0;самозанятость;310;;VMS;1;;;;;
7747;Москва;22.05.2024;08.07.2024;47;;06.07.2024;0;0;0;;400;;VMS;1;;;;;
7748;Санкт-Петербург;18.03.2024;08.07.2024;112;;10.07.2024;0;0;0;;540;;VMS;1;;;;;
7749;Москва;23.05.2024;12.07.2024;50;;01.07.2024;0;0;0;работа;1700;;VMS;1;;;;;
7750;Москва;28.05.2024;12.07.2024;45;;;0;0;0;;1000;;VMS;1;;;;;
7751;Москва;28.05.2024;15.07.2024;48;;;0;0;0;;;;VMS;1;;;;;
7752;Москва;28.05.2024;15.07.2024;48;;;0;0;0;;;;VMS;1;;;;;
7753;Санкт-Петербург;03.05.2024;15.07.2024;73;;21.07.2024;0;0;0;работа;;;VMS;1;;;;;
7754;Москва;29.05.2024;15.07.2024;47;;21.07.2024;0;0;0;;600;;VMS;1;;;;;
7755;Москва;30.05.2024;16.07.2024;47;Туризм;11.07.2024;0;0;0;;550;;VMS;1;;;;;
7756;Москва;30.05.2024;16.07.2024;47;Туризм;;0;0;0;работа;;;VMS;1;;;;;
7757;Москва;30.05.2024;16.07.2024;47;;;0;0;0;;700;;VMS;1;;;;;
7758;Москва;30.05.2024;16.07.2024;47;;25.09.2024;0;0;0;;700;;VMS;1;;;;;
7759;Москва;31.05.2024;16.07.2024;46;;24.08.2024;0;0;0;;600;;VMS;1;;;;;
7760;Санкт-Петербург;22.03.2024;17.07.2024;117;;09.09.2024;0;0;0;;120;;VMS;1;;;;;
7761;Москва;30.05.2024;17.07.2024;48;;;0;0;0;;400;;VMS;1;;;;;
7762;Москва;30.05.2024;17.07.2024;48;;;0;0;0;;1500;;VMS;1;;;;;
7763;Москва;31.05.2024;17.07.2024;47;;;0;0;0;;;;VMS;1;;;;;
7764;Москва;31.05.2024;18.07.2024;48;;09.07.2024;0;0;0;;640;;VMS;1;;;;;
7765;Москва;03.06.2024;17.07.2024;44;;22.07.2024;0;0;0;;;;VMS;1;;;;;
7766;Москва;21.05.2024;17.07.2024;57;;09.07.2024;0;0;0;;;;VMS;1;;;;;
7767;Санкт-Петербург;04.06.2024;17.07.2024;43;;25.07.2024;0;0;0;самозанятость;550;;VMS;1;;;;;
7768;Москва;31.05.2024;17.07.2024;47;;29.07.2024;0;0;0;самозанятость;500;;VMS;1;;;;;
7769;Москва;31.05.2024;18.07.2024;48;;24.07.2024;0;0;0;;;;VMS;1;;;;;
7770;Москва;27.05.2024;18.07.2024;52;;10.07.2024;0;0;0;;500;;VMS;1;;;;;
7771;Москва;31.05.2024;19.07.2024;49;;20.07.2024;0;0;0;;;;VMS;1;;;;;
7772;Санкт-Петербург;06.06.2024;19.07.2024;43;;27.07.2024;0;0;0;;600;;VMS;1;;;;;
7773;Москва;03.06.2024;19.07.2024;46;;03.09.2024;0;0;0;;;;VMS;1;;;;;
7774;Москва;27.05.2024;18.07.2024;52;;10.07.2024;0;0;0;;600;;VMS;1;;;;;
7775;Москва;04.06.2024;19.07.2024;45;;28.08.2024;0;0;0;без справки;700;;VMS;1;;;;;
7776;Москва;28.05.2024;15.07.2024;48;;;0;0;0;;350;;VMS;1;;;;;
7777;Москва;03.06.2024;22.07.2024;49;;28.07.2024;0;0;0;;;;VMS;1;;;;;
7778;Москва;07.06.2024;23.07.2024;46;;05.08.2024;0;0;0;учеба;500;;VMS;1;;;;;
7779;Москва;24.06.2024;18.07.2024;24;Учеба;;0;0;0;;;;VMS;1;;;;;
7780;Москва;06.06.2024;24.07.2024;48;;25.07.2024;0;0;0;;;;VMS;1;;;;;
7781;Санкт-Петербург;11.04.2024;09.07.2024;89;;11.07.2024;0;0;0;;;;VMS;1;;;;;
7782;Москва;06.06.2024;24.07.2024;48;;22.07.2024;0;0;0;;900;;VMS;1;;;;;
7783;Москва;05.06.2024;26.07.2024;51;;12.08.2024;0;0;0;работа;300;;VMS;1;;;;;
7784;Москва;06.06.2024;26.07.2024;50;;29.07.2024;0;0;0;;1000;;VMS;1;;;;;
7785;Москва;04.06.2024;25.07.2024;51;;;0;0;0;;500;;VMS;1;;;;;
7786;Москва;06.06.2024;26.07.2024;50;;22.07.2024;0;0;0;;;;VMS;1;;;;;
7787;Москва;07.06.2024;26.07.2024;49;;;0;0;0;;;;VMS;1;;;;;
7788;Москва;31.05.2024;19.07.2024;49;Туризм;20.08.2024;0;0;0;;;;VMS;1;;;;;
